draw_number,numbers,bonus_number,prize_info,draw_date
1,"[10, 23, 29, 33, 37, 40]",16,"[{'rank': '1등', 'winners': '0원', 'prize_amount': '0', 'winners_per_prize': '0.00000000'}, {'rank': '2등', 'winners': '143,934,100원', 'prize_amount': '1', 'winners_per_prize': '143934100.00000000'}, {'rank': '3등', 'winners': '143,934,000원', 'prize_amount': '28', 'winners_per_prize': '5140500.00000000'}, {'rank': '4등', 'winners': '287,695,800원', 'prize_amount': '2,537', 'winners_per_prize': '113400.00000000'}, {'rank': '5등', 'winners': '401,550,000원', 'prize_amount': '40,155', 'winners_per_prize': '10000.00000000'}]",2002년 12월 07일 추첨
2,"[9, 13, 21, 25, 32, 42]",2,"[{'rank': '1등', 'winners': '2,002,006,800원', 'prize_amount': '1', 'winners_per_prize': '2002006800.00000000'}, {'rank': '2등', 'winners': '189,733,600원', 'prize_amount': '2', 'winners_per_prize': '94866800.00000000'}, {'rank': '3등', 'winners': '189,726,000원', 'prize_amount': '103', 'winners_per_prize': '1842000.00000000'}, {'rank': '4등', 'winners': '379,310,400원', 'prize_amount': '3,763', 'winners_per_prize': '100800.00000000'}, {'rank': '5등', 'winners': '554,800,000원', 'prize_amount': '55,480', 'winners_per_prize': '10000.00000000'}]",2002년 12월 14일 추첨
3,"[11, 16, 19, 21, 27, 31]",30,"[{'rank': '1등', 'winners': '2,000,000,000원', 'prize_amount': '1', 'winners_per_prize': '2000000000.00000000'}, {'rank': '2등', 'winners': '0원', 'prize_amount': '0', 'winners_per_prize': '0.00000000'}, {'rank': '3등', 'winners': '163,199,900원', 'prize_amount': '139', 'winners_per_prize': '1174100.00000000'}, {'rank': '4등', 'winners': '326,106,000원', 'prize_amount': '5,940', 'winners_per_prize': '54900.00000000'}, {'rank': '5등', 'winners': '732,560,000원', 'prize_amount': '73,256', 'winners_per_prize': '10000.00000000'}]",2002년 12월 21일 추첨
4,"[14, 27, 30, 31, 40, 42]",2,"[{'rank': '1등', 'winners': '0원', 'prize_amount': '0', 'winners_per_prize': '0.00000000'}, {'rank': '2등', 'winners': '211,191,200원', 'prize_amount': '1', 'winners_per_prize': '211191200.00000000'}, {'rank': '3등', 'winners': '211,189,600원', 'prize_amount': '29', 'winners_per_prize': '7282400.00000000'}, {'rank': '4등', 'winners': '422,381,700원', 'prize_amount': '2,777', 'winners_per_prize': '152100.00000000'}, {'rank': '5등', 'winners': '523,820,000원', 'prize_amount': '52,382', 'winners_per_prize': '10000.00000000'}]",2002년 12월 28일 추첨
5,"[16, 24, 29, 40, 41, 42]",3,"[{'rank': '1등', 'winners': '0원', 'prize_amount': '0', 'winners_per_prize': '0.00000000'}, {'rank': '2등', 'winners': '0원', 'prize_amount': '0', 'winners_per_prize': '0.00000000'}, {'rank': '3등', 'winners': '253,419,600원', 'prize_amount': '42', 'winners_per_prize': '6033800.00000000'}, {'rank': '4등', 'winners': '506,659,500원', 'prize_amount': '3,043', 'winners_per_prize': '166500.00000000'}, {'rank': '5등', 'winners': '604,340,000원', 'prize_amount': '60,434', 'winners_per_prize': '10000.00000000'}]",2003년 01월 04일 추첨
6,"[14, 15, 26, 27, 40, 42]",34,"[{'rank': '1등', 'winners': '6,574,451,700원', 'prize_amount': '1', 'winners_per_prize': '6574451700.00000000'}, {'rank': '2등', 'winners': '588,892,800원', 'prize_amount': '3', 'winners_per_prize': '196297600.00000000'}, {'rank': '3등', 'winners': '588,887,400원', 'prize_amount': '138', 'winners_per_prize': '4267300.00000000'}, {'rank': '4등', 'winners': '1,177,782,000원', 'prize_amount': '13,445', 'winners_per_prize': '87600.00000000'}, {'rank': '5등', 'winners': '1,763,750,000원', 'prize_amount': '176,375', 'winners_per_prize': '10000.00000000'}]",2003년 01월 11일 추첨
7,"[2, 9, 16, 25, 26, 40]",42,"[{'rank': '1등', 'winners': '0원', 'prize_amount': '0', 'winners_per_prize': '0.00000000'}, {'rank': '2등', 'winners': '433,485,000원', 'prize_amount': '9', 'winners_per_prize': '48165000.00000000'}, {'rank': '3등', 'winners': '433,485,000원', 'prize_amount': '270', 'winners_per_prize': '1605500.00000000'}, {'rank': '4등', 'winners': '866,499,500원', 'prize_amount': '13,229', 'winners_per_prize': '65500.00000000'}, {'rank': '5등', 'winners': '2,062,590,000원', 'prize_amount': '206,259', 'winners_per_prize': '10000.00000000'}]",2003년 01월 18일 추첨
8,"[8, 19, 25, 34, 37, 39]",9,"[{'rank': '1등', 'winners': '0원', 'prize_amount': '0', 'winners_per_prize': '0.00000000'}, {'rank': '2등', 'winners': '789,330,000원', 'prize_amount': '6', 'winners_per_prize': '131555000.00000000'}, {'rank': '3등', 'winners': '789,298,800원', 'prize_amount': '348', 'winners_per_prize': '2268100.00000000'}, {'rank': '4등', 'winners': '1,577,829,500원', 'prize_amount': '14,279', 'winners_per_prize': '110500.00000000'}, {'rank': '5등', 'winners': '2,482,420,000원', 'prize_amount': '248,242', 'winners_per_prize': '10000.00000000'}]",2003년 01월 25일 추첨
9,"[2, 4, 16, 17, 36, 39]",14,"[{'rank': '1등', 'winners': '0원', 'prize_amount': '0', 'winners_per_prize': '0.00000000'}, {'rank': '2등', 'winners': '3,077,826,000원', 'prize_amount': '4', 'winners_per_prize': '769456500.00000000'}, {'rank': '3등', 'winners': '3,077,817,600원', 'prize_amount': '352', 'winners_per_prize': '8743800.00000000'}, {'rank': '4등', 'winners': '6,154,720,000원', 'prize_amount': '23,672', 'winners_per_prize': '260000.00000000'}, {'rank': '5등', 'winners': '6,033,750,000원', 'prize_amount': '603,375', 'winners_per_prize': '10000.00000000'}]",2003년 02월 01일 추첨
10,"[9, 25, 30, 33, 41, 44]",6,"[{'rank': '1등', 'winners': '83,595,692,700원', 'prize_amount': '13', 'winners_per_prize': '6430437900.00000000'}, {'rank': '2등', 'winners': '9,631,962,400원', 'prize_amount': '236', 'winners_per_prize': '40813400.00000000'}, {'rank': '3등', 'winners': '9,631,930,800원', 'prize_amount': '11,247', 'winners_per_prize': '856400.00000000'}, {'rank': '4등', 'winners': '19,198,288,200원', 'prize_amount': '703,234', 'winners_per_prize': '27300.00000000'}, {'rank': '5등', 'winners': '34,108,460,000원', 'prize_amount': '3,410,846', 'winners_per_prize': '10000.00000000'}]",2003년 02월 08일 추첨
